ID_Produto;Produto;Categoria;Marca;Preco_Base;Custo_Base
1;Mouse Office Basic;Mouse;Multilaser;51,83;26,5
2;Headset Gamer 7.1;Headset;HyperX;339,26;317,4
3;Teclado Mecânico RGB;Teclado;Redragon;378,53;233,88
4;Notebook Inspiron 15;Notebook;Dell;3394,24;3129,14
5;Mouse Gamer RGB;Mouse;Redragon;165,07;84,56
6;Monitor Gamer 165Hz;Monitor;AOC;1877,22;717,06
7;Notebook Nitro 5;Notebook;Acer;5361,61;3894,42
8;Monitor Gamer 165Hz;Monitor;AOC;1710,22;757,71
9;Mouse Office Basic;Mouse;Multilaser;47,29;24,92
10;Monitor Gamer 165Hz;Monitor;AOC;1527,16;766,61
11;Notebook Inspiron 15;Notebook;Dell;3982,56;3521,62
12;Teclado Mecânico RGB;teclado;Redragon;318,75;267,86
13;Teclado Mecânico RGB;Teclado;Redragon;346,54;268,03
14;Monitor Gamer 165Hz;Monitor;AOC;1997,74;657,62
15;Monitor Gamer 165Hz;Monitor;AOC;2112,93;618,57
16;Webcam Full HD;Webcam;Logitech;261,03;109,64
17;Notebook Inspiron 15;Notebook;Dell;4179,08;3353,86
18;Monitor Gamer 165Hz;Monitor;AOC;1944,85;618,02
19;Notebook Inspiron 15;Notebook;Dell;3765,48;3411,14
20;Mouse Office Basic;Mouse;Multilaser;44,83;31,14
21;Notebook Nitro 5;Notebook;Acer;5204,47;3996,75
22;Teclado Mecânico RGB;Teclado;Redragon;310,46;294,85
23;Teclado Mecânico RGB;Teclado;Redragon;295,25;250,32
24;Mouse Office Basic;Mouse;Multilaser;53,12;30,21
25;Mouse Office Basic;Mouse;Multilaser;49,04;32,79
26;Monitor Gamer 165Hz;Monitor;AOC;1653,3;635,79
27;Monitor Gamer 165Hz;monitor;AOC;1637,5;764,6
28;Monitor Gamer 165Hz;Monitor;AOC;2065,29;663,08
29;Notebook Inspiron 15;Notebook;Dell;4099,99;3164,64
30;Notebook Inspiron 15;Notebook;Dell;3551,67;3032,53
31;Webcam Full HD;Webcam;Logitech;205,36;101,37
32;Monitor Gamer 165Hz;Monitor;AOC;1841,81;647,4
33;Mouse Office Basic;Mouse;Multilaser;52,35;26,68
34;Headset Gamer 7.1;Headset;HyperX;438,42;337,27
35;Mouse Office Basic;Mouse;Multilaser;37,46;26,16
36;Notebook Nitro 5;Notebook;Acer;6239,34;3763,89
37;Notebook Inspiron 15;Notebook;Dell;4541,02;3463,97
38;Mouse Office Basic;Mouse;Multilaser;47,25;29,95
39;Mouse Office Basic;Mouse;Multilaser;47,66;32,18
40;Mouse Gamer RGB;Mouse;Redragon;129,23;92,22
41;Monitor Gamer 165Hz;Monitor;AOC;1658,95;644,53
42;Monitor Gamer 165Hz;Monitor;AOC;1497,92;568,37
43;Headset Gamer 7.1;Headset;HyperX;340,35;286,66
44;Notebook Inspiron 15;Notebook;Dell;3812,78;3004,66
45;Mouse Gamer RGB;Mouse;Redragon;163,3;76,9
46;Headset Gamer 7.1;Headset;HyperX;351,33;298,45
47;Teclado Mecânico RGB;Teclado;Redragon;276,59;265,97
48;Webcam Full HD;Webcam;Logitech;281,36;115,8
49;Webcam Full HD;Webcam;Logitech;211,59;123,81
50;Notebook Inspiron 15;Notebook;Dell;4054,26;3168,22
51;Teclado Mecânico RGB;Teclado;Redragon;312,58;234,86
52;Monitor Gamer 165Hz;Monitor;AOC;1755,44;706,63
53;Notebook Nitro 5;notebook;Acer;6494,41;4051,74
54;Monitor Gamer 165Hz;Monitor;AOC;1507,11;768,37
55;Notebook Nitro 5;Notebook;Acer;6570,57;3798,05
56;Monitor Gamer 165Hz;Monitor;AOC;2041;765,85
57;Mouse Office Basic;Mouse;Multilaser;39,43;29,39
58;Mouse Gamer RGB;Mouse;Redragon;156,24;83,2
59;Monitor Gamer 165Hz;Monitor;AOC;1654,96;683,26
60;Webcam Full HD;Webcam;Logitech;248,43;107,97
