ID_Venda;Data_Venda;ID_Cliente;ID_Produto;ID_Cidade;Quantidade;Preco_Unitario;Custo_Unitario;Receita;Desconto;Canal_Venda;Forma_Pagamento
1;14/11/2024;3807;53;7;2;7.115,77;4.182,59;14.231,54;1.143,77;Marketplace;Boleto
2;01/02/2025;17237;1;4;2;56,04;27,70;112,08;9,14;Loja Física;Crédito
3;06/10/2024;412;54;8;1;1.579,31;717,81;1.579,31;284,28;Site;PIX
4;28/10/2025;8935;33;5;2;48,38;26,64;96,76;6,98;Site;Crédito
5;25/05/2026;4078;20;7;1;43,87;32,71;43,87;5,04;Marketplace;PIX
6;26/07/2024;8666;38;10;3;43,02;28,56;129,06;23,23;Marketplace;Crédito
7;22/10/2024;2813;16;3;4;246,33;119,00;985,32;69,55;Marketplace;PIX
8;06/10/2024;10957;27;7;3;1.672,12;818,13;5.016,36;902,94;App;Crédito
9;25/04/2025;4897;26;8;1;1.559,47;642,57;1.559,47;236,15;Site;Crédito
10;25/05/2025;2123;24;5;2;49,16;33,05;98,32;4,97;Site;PIX
11;06/02/2026;19797;25;4;1;47,38;32,97;47,38;8,53;Marketplace;Débito
12;07/06/2025;4623;3;8;4;375,49;249,77;1.501,96;14,83;Loja Física;Débito
13;08/06/2024;17733;9;8;1;45,65;26,39;45,65;8,22;App;Crédito
14;01/11/2025;3320;24;3;2;53,70;33,02;107,40;19,33;Marketplace;Crédito
15;04/07/2025;15611;46;6;1;367,40;299,54;367,40;7,52;Marketplace;PIX
16;09/11/2024;429;2;5;3;342,51;287,74;1.027,53;54,27;Marketplace;Crédito
17;18/12/2024;8080;57;2;2;39,88;32,06;79,76;0,78;Marketplace;PIX
18;28/01/2026;18857;5;8;1;167,38;79,94;167,38;30,13;Site;Crédito
19;31/01/2026;821;57;6;2;39,54;31,31;79,08;2,71;Site;Crédito
20;20/04/2026;9741;9;2;1;51,09;23,47;51,09;2,64;Marketplace;PIX
21;01/02/2025;7095;28;5;3;1.881,69;639,25;5.645,07;641,15;Site;PIX
22;25/01/2025;10362;24;1;1;51,81;27,66;51,81;2,51;Marketplace;Crédito
23;19/12/2025;18845;9;10;2;47,09;27,34;94,18;5,01;Marketplace;Crédito
24;15/07/2025;12788;39;6;5;50,27;34,33;251,35;19,26;Marketplace;Crédito
25;22/05/2025;8062;5;9;1;163,83;77,75;163,83;29,49;Site;PIX
26;05/08/2024;14031;39;1;2;45,09;33,03;90,18;11,59;App;Crédito
27;02/04/2026;14569;43;10;1;318,07;272,24;318,07;57,25;Marketplace;PIX
28;04/09/2024;17030;25;3;5;44,73;34,91;223,65;19,82;Site;Crédito
29;30/06/2025;909;25;7;1;52,01;34,61;52,01;9,36;Site;PIX
30;24/12/2024;18701;34;4;1;449,63;370,97;449,63;80,93;Marketplace;PIX
31;04/11/2024;607;33;9;3;50,73;25,22;152,19;8,25;Site;Crédito
32;10/10/2025;18253;24;3;2;54,13;29,25;108,26;19,49;Marketplace;PIX
33;13/02/2026;1055;23;5;4;273,67;246,79;1.094,68;56,06;Marketplace;Boleto
34;21/01/2025;1144;57;3;3;40,87;30,57;122,61;6,89;Loja Física;Crédito
35;28/06/2025;11665;23;7;7;285,91;226,64;2.001,37;134,90;Loja Física;PIX
36;05/06/2025;1228;9;5;1;49,63;23,67;49,63;8,93;App;PIX
37;06/12/2024;12608;57;9;1;37,62;29,47;37,62;0,72;Marketplace;PIX
38;13/09/2024;1600;39;7;5;43,26;32,81;216,30;5,10;Marketplace;Crédito
39;28/01/2025;17743;24;2;6;48,79;27,92;292,74;2,81;Site;PIX
40;22/11/2025;9140;23;4;2;298,99;248,46;597,98;97,04;Site;Crédito
41;27/01/2026;13271;13;9;2;340,74;289,75;681,48;122,67;Marketplace;Crédito
42;07/03/2025;17748;20;2;1;47,02;32,93;47,02;8,46;Site;Crédito
43;05/07/2025;4956;34;10;3;440,56;313,48;1.321,68;237,90;Marketplace;PIX
44;07/04/2026;19654;57;9;3;35,76;27,58;107,28;10,40;App;Crédito
45;22/01/2025;12680;45;10;1;159,82;77,61;159,82;28,77;Marketplace;Crédito
46;29/07/2025;15527;58;5;2;159,73;89,82;319,46;8,13;Site;Crédito
47;21/03/2026;14908;33;2;1;57,34;26,61;57,34;10,32;Marketplace;PIX
48;07/04/2026;10122;33;4;1;54,38;27,02;54,38;9,79;Site;Crédito
49;20/11/2025;14583;46;7;1;380,62;309,77;380,62;9,41;Site;Crédito
50;06/03/2026;104;58;8;1;141,92;81,97;141,92;4,69;Marketplace;Crédito
51;04/05/2026;15370;45;3;1;150,18;77,93;150,18;4,05;Loja Física;Débito
52;18/05/2026;11558;38;1;2;49,09;29,31;98,18;1,78;App;Crédito
53;08/03/2025;4717;5;4;1;156,30;85,04;156,30;11,69;Loja Física;Débito
54;13/05/2026;8907;45;2;4;147,88;74,31;591,52;46,09;App;Crédito
55;18/08/2024;11234;35;8;3;39,15;28,41;117,45;12,05;Site;Crédito
56;03/05/2025;1529;9;4;3;46,32;25,74;138,96;25,01;Loja Física;Crédito
57;13/08/2025;200;24;2;2;55,57;29,72;111,14;11,06;Marketplace;Crédito
58;07/06/2026;17018;10;6;3;1.552,11;693,84;4.656,33;275,50;Marketplace;PIX
59;29/12/2024;12495;43;6;1;318,17;265,37;318,17;57,27;Marketplace;Crédito
60;04/07/2025;15127;1;10;1;52,66;24,02;52,66;4,94;Marketplace;PIX
61;08/06/2025;4089;60;4;7;227,20;102,28;1.590,40;232,83;Marketplace;PIX
62;05/11/2025;13847;15;6;1;1.903,01;598,16;1.903,01;133,74;Marketplace;PIX
63;07/11/2025;14430;25;2;1;52,56;32,93;52,56;6,99;App;Crédito
64;14/06/2025;7001;23;10;1;316,96;231,65;316,96;57,05;Marketplace;PIX
65;30/05/2025;11352;46;2;4;381,34;278,02;1.525,36;274,56;Marketplace;Boleto
66;19/04/2026;14138;58;10;1;147,08;84,53;147,08;26,47;Site;PIX
67;28/05/2026;4393;40;4;2;129,70;94,95;259,40;46,69;Marketplace;Débito
68;07/03/2026;18722;19;8;3;3.964,11;3.294,40;11.892,33;2.140,62;App;Débito
69;05/10/2024;206;20;7;6;40,69;33,06;244,14;37,19;Marketplace;PIX
70;08/04/2026;5276;2;9;1;324,75;342,93;324,75;58,46;Loja Física;PIX
71;30/11/2024;7971;38;8;2;45,58;31,11;91,16;16,41;App;Crédito
72;28/05/2026;15907;46;5;8;358,14;298,82;2.865,12;12,46;Marketplace;PIX
73;26/06/2024;14185;43;2;1;348,84;281,74;348,84;62,79;Marketplace;Boleto
74;14/08/2025;11134;1;5;1;49,96;25,75;49,96;5,25;App;PIX
