ID_Venda;Data_Venda;ID_Cliente;ID_Produto;ID_Cidade;Quantidade;Preco_Unitario;Custo_Unitario;Receita;Desconto;Canal_Venda;Forma_Pagamento;Lucro_Real;Lucro_Real_1
2;2025-02-01;17237;1;4;2;56.04;27.7;112.08;9.14;Loja Física;Crédito;38.4;47.54
4;2025-10-28;8935;33;5;2;48.38;26.64;96.76;6.98;Site;Crédito;29.52000000000001;36.5
5;2026-05-25;4078;20;7;1;43.87;32.71;43.87;5.04;Marketplace;PIX;6.119999999999997;6.119999999999997
6;2024-07-26;8666;38;10;3;43.02;28.56;129.06;23.23;Marketplace;Crédito;-26.309999999999988;20.150000000000006
7;2024-10-22;2813;16;3;4;246.33;119.0;985.32;69.55;Marketplace;PIX;231.12000000000012;439.7700000000001
10;2025-05-25;2123;24;5;2;49.16;33.05;98.32;4.97;Site;PIX;22.28;27.25
11;2026-02-06;19797;25;4;1;47.38;32.97;47.38;8.53;Marketplace;Débito;5.880000000000003;5.880000000000003
12;2025-06-07;4623;3;8;4;375.49;249.77;1501.96;14.83;Loja Física;Débito;443.56000000000006;488.05000000000007
13;2024-06-08;17733;9;8;1;45.65;26.39;45.65;8.22;App;Crédito;11.04;11.04
14;2025-11-01;3320;24;3;2;53.7;33.02;107.4;19.33;Marketplace;Crédito;2.700000000000003;22.03
15;2025-07-04;15611;46;6;1;367.4;299.54;367.4;7.52;Marketplace;PIX;60.339999999999975;60.339999999999975
16;2024-11-09;429;2;5;3;342.51;287.74;1027.53;54.27;Marketplace;Crédito;1.5;110.03999999999996
17;2024-12-18;8080;57;2;2;39.88;32.06;79.76;0.78;Marketplace;PIX;14.079999999999998;14.86
18;2026-01-28;18857;5;8;1;167.38;79.94;167.38;30.13;Site;Crédito;57.31;57.31
19;2026-01-31;821;57;6;2;39.54;31.31;79.08;2.71;Site;Crédito;11.04;13.750000000000007
20;2026-04-20;9741;9;2;1;51.09;23.47;51.09;2.64;Marketplace;PIX;24.980000000000004;24.980000000000004
