ID_Venda;Data_Venda;ID_Cliente;ID_Produto;ID_Cidade;Quantidade;Preco_Unitario;Custo_Unitario;Receita;Desconto;Canal_Venda;Forma_Pagamento
2;2025-02-01;17237;1;4;2;56.04;27.7;112.08;9.14;Loja Física;Crédito
4;2025-10-28;8935;33;5;2;48.38;26.64;96.76;6.98;Site;Crédito
5;2026-05-25;4078;20;7;1;43.87;32.71;43.87;5.04;Marketplace;PIX
6;2024-07-26;8666;38;10;3;43.02;28.56;129.06;23.23;Marketplace;Crédito
7;2024-10-22;2813;16;3;4;246.33;119.0;985.32;69.55;Marketplace;PIX
10;2025-05-25;2123;24;5;2;49.16;33.05;98.32;4.97;Site;PIX
11;2026-02-06;19797;25;4;1;47.38;32.97;47.38;8.53;Marketplace;Débito
12;2025-06-07;4623;3;8;4;375.49;249.77;1501.96;14.83;Loja Física;Débito
13;2024-06-08;17733;9;8;1;45.65;26.39;45.65;8.22;App;Crédito
14;2025-11-01;3320;24;3;2;53.7;33.02;107.4;19.33;Marketplace;Crédito
15;2025-07-04;15611;46;6;1;367.4;299.54;367.4;7.52;Marketplace;PIX
16;2024-11-09;429;2;5;3;342.51;287.74;1027.53;54.27;Marketplace;Crédito
17;2024-12-18;8080;57;2;2;39.88;32.06;79.76;0.78;Marketplace;PIX
18;2026-01-28;18857;5;8;1;167.38;79.94;167.38;30.13;Site;Crédito
19;2026-01-31;821;57;6;2;39.54;31.31;79.08;2.71;Site;Crédito
20;2026-04-20;9741;9;2;1;51.09;23.47;51.09;2.64;Marketplace;PIX
22;2025-01-25;10362;24;1;1;51.81;27.66;51.81;2.51;Marketplace;Crédito
23;2025-12-19;18845;9;10;2;47.09;27.34;94.18;5.01;Marketplace;Crédito
24;2025-07-15;12788;39;6;5;50.27;34.33;251.35;19.26;Marketplace;Crédito
25;2025-05-22;8062;5;9;1;163.83;77.75;163.83;29.49;Site;PIX
26;2024-08-05;14031;39;1;2;45.09;33.03;90.18;11.59;App;Crédito
27;2026-04-02;14569;43;10;1;318.07;272.24;318.07;57.25;Marketplace;PIX
28;2024-09-04;17030;25;3;5;44.73;34.91;223.65;19.82;Site;Crédito
29;2025-06-30;909;25;7;1;52.01;34.61;52.01;9.36;Site;PIX
30;2024-12-24;18701;34;4;1;449.63;370.97;449.63;80.93;Marketplace;PIX
31;2024-11-04;607;33;9;3;50.73;25.22;152.19;8.25;Site;Crédito
32;2025-10-10;18253;24;3;2;54.13;29.25;108.26;19.49;Marketplace;PIX
33;2026-02-13;1055;23;5;4;273.67;246.79;1094.68;56.06;Marketplace;Boleto
34;2025-01-21;1144;57;3;3;40.87;30.57;122.61;6.89;Loja Física;Crédito
35;2025-06-28;11665;23;7;7;285.91;226.64;2001.37;134.9;Loja Física;PIX
36;2025-06-05;1228;9;5;1;49.63;23.67;49.63;8.93;App;PIX
37;2024-12-06;12608;57;9;1;37.62;29.47;37.62;0.72;Marketplace;PIX
38;2024-09-13;1600;39;7;5;43.26;32.81;216.3;5.1;Marketplace;Crédito
39;2025-01-28;17743;24;2;6;48.79;27.92;292.74;2.81;Site;PIX
40;2025-11-22;9140;23;4;2;298.99;248.46;597.98;97.04;Site;Crédito
41;2026-01-27;13271;13;9;2;340.74;289.75;681.48;122.67;Marketplace;Crédito
42;2025-03-07;17748;20;2;1;47.02;32.93;47.02;8.46;Site;Crédito
43;2025-07-05;4956;34;10;3;440.56;313.48;1321.68;237.9;Marketplace;PIX
44;2026-04-07;19654;57;9;3;35.76;27.58;107.28;10.4;App;Crédito
45;2025-01-22;12680;45;10;1;159.82;77.61;159.82;28.77;Marketplace;Crédito
46;2025-07-29;15527;58;5;2;159.73;89.82;319.46;8.13;Site;Crédito
47;2026-03-21;14908;33;2;1;57.34;26.61;57.34;10.32;Marketplace;PIX
48;2026-04-07;10122;33;4;1;54.38;27.02;54.38;9.79;Site;Crédito
49;2025-11-20;14583;46;7;1;380.62;309.77;380.62;9.41;Site;Crédito
50;2026-03-06;104;58;8;1;141.92;81.97;141.92;4.69;Marketplace;Crédito
51;2026-05-04;15370;45;3;1;150.18;77.93;150.18;4.05;Loja Física;Débito
52;2026-05-18;11558;38;1;2;49.09;29.31;98.18;1.78;App;Crédito
53;2025-03-08;4717;5;4;1;156.3;85.04;156.3;11.69;Loja Física;Débito
54;2026-05-13;8907;45;2;4;147.88;74.31;591.52;46.09;App;Crédito
55;2024-08-18;11234;35;8;3;39.15;28.41;117.45;12.05;Site;Crédito
56;2025-05-03;1529;9;4;3;46.32;25.74;138.96;25.01;Loja Física;Crédito
57;2025-08-13;200;24;2;2;55.57;29.72;111.14;11.06;Marketplace;Crédito
59;2024-12-29;12495;43;6;1;318.17;265.37;318.17;57.27;Marketplace;Crédito
60;2025-07-04;15127;1;10;1;52.66;24.02;52.66;4.94;Marketplace;PIX
61;2025-06-08;4089;60;4;7;227.2;102.28;1590.4;232.83;Marketplace;PIX
63;2025-11-07;14430;25;2;1;52.56;32.93;52.56;6.99;App;Crédito
64;2025-06-14;7001;23;10;1;316.96;231.65;316.96;57.05;Marketplace;PIX
