ID_Venda;Data_Venda;ID_Cliente;ID_Produto;ID_Cidade;Quantidade;Preco_Unitario;Custo_Unitario;Receita;Desconto;Canal_Venda;Forma_Pagamento
1;2024-11-14;3807;53;7;2;7115.77;4182.59;14231.54;1143.77;Marketplace;Boleto
2;2025-02-01;17237;1;4;2;56.04;27.7;112.08;9.14;Loja Física;Crédito
3;2024-10-06;412;54;8;1;1579.31;717.81;1579.31;284.28;Site;PIX
4;2025-10-28;8935;33;5;2;48.38;26.64;96.76;6.98;Site;Crédito
5;2026-05-25;4078;20;7;1;43.87;32.71;43.87;5.04;Marketplace;PIX
6;2024-07-26;8666;38;10;3;43.02;28.56;129.06;23.23;Marketplace;Crédito
7;2024-10-22;2813;16;3;4;246.33;119.0;985.32;69.55;Marketplace;PIX
8;2024-10-06;10957;27;7;3;1672.12;818.13;5016.36;902.94;App;Crédito
9;2025-04-25;4897;26;8;1;1559.47;642.57;1559.47;236.15;Site;Crédito
10;2025-05-25;2123;24;5;2;49.16;33.05;98.32;4.97;Site;PIX
11;2026-02-06;19797;25;4;1;47.38;32.97;47.38;8.53;Marketplace;Débito
12;2025-06-07;4623;3;8;4;375.49;249.77;1501.96;14.83;Loja Física;Débito
13;2024-06-08;17733;9;8;1;45.65;26.39;45.65;8.22;App;Crédito
14;2025-11-01;3320;24;3;2;53.7;33.02;107.4;19.33;Marketplace;Crédito
15;2025-07-04;15611;46;6;1;367.4;299.54;367.4;7.52;Marketplace;PIX
16;2024-11-09;429;2;5;3;342.51;287.74;1027.53;54.27;Marketplace;Crédito
17;2024-12-18;8080;57;2;2;39.88;32.06;79.76;0.78;Marketplace;PIX
18;2026-01-28;18857;5;8;1;167.38;79.94;167.38;30.13;Site;Crédito
19;2026-01-31;821;57;6;2;39.54;31.31;79.08;2.71;Site;Crédito
20;2026-04-20;9741;9;2;1;51.09;23.47;51.09;2.64;Marketplace;PIX
21;2025-02-01;7095;28;5;3;1881.69;639.25;5645.07;641.15;Site;PIX
22;2025-01-25;10362;24;1;1;51.81;27.66;51.81;2.51;Marketplace;Crédito
23;2025-12-19;18845;9;10;2;47.09;27.34;94.18;5.01;Marketplace;Crédito
24;2025-07-15;12788;39;6;5;50.27;34.33;251.35;19.26;Marketplace;Crédito
25;2025-05-22;8062;5;9;1;163.83;77.75;163.83;29.49;Site;PIX
26;2024-08-05;14031;39;1;2;45.09;33.03;90.18;11.59;App;Crédito
27;2026-04-02;14569;43;10;1;318.07;272.24;318.07;57.25;Marketplace;PIX
28;2024-09-04;17030;25;3;5;44.73;34.91;223.65;19.82;Site;Crédito
29;2025-06-30;909;25;7;1;52.01;34.61;52.01;9.36;Site;PIX
30;2024-12-24;18701;34;4;1;449.63;370.97;449.63;80.93;Marketplace;PIX
31;2024-11-04;607;33;9;3;50.73;25.22;152.19;8.25;Site;Crédito
32;2025-10-10;18253;24;3;2;54.13;29.25;108.26;19.49;Marketplace;PIX
33;2026-02-13;1055;23;5;4;273.67;246.79;1094.68;56.06;Marketplace;Boleto
34;2025-01-21;1144;57;3;3;40.87;30.57;122.61;6.89;Loja Física;Crédito
35;2025-06-28;11665;23;7;7;285.91;226.64;2001.37;134.9;Loja Física;PIX
36;2025-06-05;1228;9;5;1;49.63;23.67;49.63;8.93;App;PIX
37;2024-12-06;12608;57;9;1;37.62;29.47;37.62;0.72;Marketplace;PIX
38;2024-09-13;1600;39;7;5;43.26;32.81;216.3;5.1;Marketplace;Crédito
39;2025-01-28;17743;24;2;6;48.79;27.92;292.74;2.81;Site;PIX
40;2025-11-22;9140;23;4;2;298.99;248.46;597.98;97.04;Site;Crédito
41;2026-01-27;13271;13;9;2;340.74;289.75;681.48;122.67;Marketplace;Crédito
42;2025-03-07;17748;20;2;1;47.02;32.93;47.02;8.46;Site;Crédito
43;2025-07-05;4956;34;10;3;440.56;313.48;1321.68;237.9;Marketplace;PIX
44;2026-04-07;19654;57;9;3;35.76;27.58;107.28;10.4;App;Crédito
45;2025-01-22;12680;45;10;1;159.82;77.61;159.82;28.77;Marketplace;Crédito
46;2025-07-29;15527;58;5;2;159.73;89.82;319.46;8.13;Site;Crédito
47;2026-03-21;14908;33;2;1;57.34;26.61;57.34;10.32;Marketplace;PIX
48;2026-04-07;10122;33;4;1;54.38;27.02;54.38;9.79;Site;Crédito
49;2025-11-20;14583;46;7;1;380.62;309.77;380.62;9.41;Site;Crédito
50;2026-03-06;104;58;8;1;141.92;81.97;141.92;4.69;Marketplace;Crédito
51;2026-05-04;15370;45;3;1;150.18;77.93;150.18;4.05;Loja Física;Débito
52;2026-05-18;11558;38;1;2;49.09;29.31;98.18;1.78;App;Crédito
53;2025-03-08;4717;5;4;1;156.3;85.04;156.3;11.69;Loja Física;Débito
54;2026-05-13;8907;45;2;4;147.88;74.31;591.52;46.09;App;Crédito
55;2024-08-18;11234;35;8;3;39.15;28.41;117.45;12.05;Site;Crédito
56;2025-05-03;1529;9;4;3;46.32;25.74;138.96;25.01;Loja Física;Crédito
57;2025-08-13;200;24;2;2;55.57;29.72;111.14;11.06;Marketplace;Crédito
58;2026-06-07;17018;10;6;3;1552.11;693.84;4656.33;275.5;Marketplace;PIX
59;2024-12-29;12495;43;6;1;318.17;265.37;318.17;57.27;Marketplace;Crédito
60;2025-07-04;15127;1;10;1;52.66;24.02;52.66;4.94;Marketplace;PIX
61;2025-06-08;4089;60;4;7;227.2;102.28;1590.4;232.83;Marketplace;PIX
62;2025-11-05;13847;15;6;1;1903.01;598.16;1903.01;133.74;Marketplace;PIX
63;2025-11-07;14430;25;2;1;52.56;32.93;52.56;6.99;App;Crédito
64;2025-06-14;7001;23;10;1;316.96;231.65;316.96;57.05;Marketplace;PIX
65;2025-05-30;11352;46;2;4;381.34;278.02;1525.36;274.56;Marketplace;Boleto
66;2026-04-19;14138;58;10;1;147.08;84.53;147.08;26.47;Site;PIX
67;2026-05-28;4393;40;4;2;129.7;94.95;259.4;46.69;Marketplace;Débito
68;2026-03-07;18722;19;8;3;3964.11;3294.4;11892.33;2140.62;App;Débito
69;2024-10-05;206;20;7;6;40.69;33.06;244.14;37.19;Marketplace;PIX
70;2026-04-08;5276;2;9;1;324.75;342.93;324.75;58.46;Loja Física;PIX
71;2024-11-30;7971;38;8;2;45.58;31.11;91.16;16.41;App;Crédito
72;2026-05-28;15907;46;5;8;358.14;298.82;2865.12;12.46;Marketplace;PIX
73;2024-06-26;14185;43;2;1;348.84;281.74;348.84;62.79;Marketplace;Boleto
74;2025-08-14;11134;1;5;1;49.96;25.75;49.96;5.25;App;PIX
75;2025-07-07;14307;35;8;1;36.56;26.67;36.56;6.58;Site;PIX
76;2025-01-01;6247;35;10;2;36.81;27.93;73.62;13.25;Site;Crédito
77;2025-10-03;3169;56;9;1;2041.54;787.74;2041.54;367.48;App;PIX
78;2025-01-06;7113;43;9;3;362.4;271.75;1087.2;131.97;Marketplace;PIX
79;2024-06-27;999999;26;1;2;1800.27;649.47;3600.54;428.01;Marketplace;Débito
80;2025-10-16;17317;25;9;2;45.95;33.65;91.9;14.65;Marketplace;Débito
81;2025-12-26;13537;43;7;2;307.01;312.97;614.02;71.1;App;Crédito
82;2025-11-12;12225;38;9;8;48.42;28.81;387.36;36.18;Site;Crédito
83;2024-09-18;13916;9;8;2;46.67;25.0;93.34;16.8;Marketplace;Boleto
84;2025-08-31;131;41;1;1;1674.61;675.27;1674.61;301.43;Marketplace;PIX
85;2026-01-20;9532;38;8;1;46.18;28.89;46.18;8.31;Marketplace;Boleto
86;2024-12-27;12070;38;8;3;45.38;31.0;136.14;5.65;Marketplace;PIX
87;2026-01-10;4062;1;3;2;56.01;25.17;112.02;20.16;Site;Boleto
88;2025-05-17;16449;35;1;3;35.63;26.13;106.89;4.77;Site;Crédito
89;2024-10-22;4381;40;8;5;122.9;86.67;614.5;31.57;App;Débito
90;2024-08-05;14844;49;3;2;195.92;122.83;391.84;29.84;Site;Boleto
91;2024-08-02;6890;35;3;1;37.57;23.57;37.57;4.48;Marketplace;Boleto
92;2025-12-05;3671;39;1;8;52.03;32.93;416.24;3.24;Site;Crédito
93;2026-03-07;11791;31;5;2;210.16;108.24;420.32;25.8;App;Crédito
94;2024-09-07;18194;54;10;1;1651.17;789.3;1651.17;297.21;Site;Crédito
95;2025-09-08;9047;33;7;2;55.1;25.91;110.2;19.84;App;PIX
96;2025-02-25;19928;57;10;2;41.88;30.69;83.76;6.57;Site;Crédito
97;2026-04-19;3436;56;9;2;2081.24;741.16;4162.48;321.54;Site;PIX
98;2026-01-28;16589;39;7;6;45.65;33.67;273.9;49.3;Site;Boleto
99;2025-04-10;901;13;9;1;343.38;268.74;343.38;61.81;Marketplace;PIX
100;2025-09-04;4353;28;8;1;2125.47;726.07;2125.47;39.77;Marketplace;Débito
101;2024-07-19;7823;27;2;5;1658.23;756.64;8291.15;177.05;Marketplace;PIX
102;2024-11-27;6835;1;1;1;49.52;28.66;49.52;8.91;Site;PIX
103;2024-07-15;10516;20;7;3;45.54;29.19;136.62;11.2;Marketplace;Boleto
104;2025-04-13;1345;20;7;1;42.16;28.12;42.16;7.59;Site;PIX
105;2025-04-25;13425;49;8;4;206.01;114.07;824.04;148.33;App;PIX
106;2024-05-29;11999;38;5;5;45.12;27.88;225.6;2.88;Marketplace;Crédito
107;2025-01-07;7263;9;3;1;43.03;24.83;43.03;7.75;Marketplace;PIX
108;2026-01-26;399;16;8;1;279.0;118.55;279.0;30.03;App;PIX
109;2025-10-01;13369;32;6;5;1690.36;584.8;8451.8;560.22;Marketplace;Crédito
110;2025-10-19;4354;57;3;3;40.71;27.36;122.13;17.28;Marketplace;Débito
111;2024-09-28;6357;40;1;1;130.24;89.8;130.24;23.44;Marketplace;PIX
112;2025-03-30;1341;38;3;1;48.55;31.36;48.55;8.74;Marketplace;PIX
113;2026-02-19;18588;25;5;2;45.64;34.31;91.28;16.43;Loja Física;Crédito
114;2025-08-28;14768;39;3;4;51.58;29.03;206.32;37.14;App;PIX
115;2026-02-11;5207;49;1;1;216.7;127.42;216.7;39.01;Site;Crédito
116;2024-08-17;6183;47;5;3;287.08;252.21;861.24;124.83;App;PIX
117;2024-07-02;17776;35;10;1;35.91;24.52;35.91;6.46;App;Crédito
118;2025-08-04;12438;38;7;2;51.88;32.22;103.76;17.79;Marketplace;Boleto
119;2024-08-16;17245;3;7;3;396.19;216.28;1188.57;126.28;App;PIX
120;2024-09-28;7988;1;9;1;49.97;25.31;49.97;8.99;Site;PIX
121;2025-07-13;16008;57;10;1;40.24;29.02;40.24;7.24;App;Crédito
122;2024-09-03;11636;40;10;3;132.72;85.27;398.16;66.88;App;PIX
123;2025-06-03;18243;39;3;1;49.61;33.95;49.61;8.93;Marketplace;Crédito
124;2026-02-27;8951;25;7;3;46.51;32.22;139.53;25.12;Marketplace;PIX
125;2025-07-21;12364;35;1;2;40.42;27.2;80.84;0.29;Marketplace;PIX
126;2026-04-20;16955;57;4;2;41.75;31.78;83.5;12.54;Site;Crédito
127;2024-09-11;17275;34;4;1;464.76;356.48;464.76;39.86;App;PIX
128;2025-12-19;4669;12;5;2;335.09;259.3;670.18;120.63;App;Crédito
129;2025-10-11;14582;44;7;2;4045.47;3044.15;8090.94;736.83;Marketplace;Boleto
130;2025-09-17;16502;5;7;4;159.33;90.57;637.32;8.79;Site;Crédito
131;2025-05-22;15543;9;4;3;44.53;26.63;133.59;1.78;Marketplace;Crédito
132;2024-09-01;10880;8;7;2;1563.34;735.6;3126.68;562.8;Marketplace;PIX
133;2026-02-08;11808;5;3;1;173.28;83.76;173.28;2.43;Marketplace;Crédito
134;2026-04-18;9512;24;6;1;56.67;33.13;56.67;6.25;Marketplace;Crédito
135;2026-02-01;6373;24;2;4;54.95;31.36;219.8;23.24;Loja Física;Débito
136;2025-06-26;13640;60;10;3;230.23;111.39;690.69;124.32;Marketplace;PIX
137;2026-04-11;8398;24;9;1;47.91;32.37;47.91;8.62;Site;PIX
138;2024-09-08;6045;41;5;7;1583.97;686.11;11087.79;40.88;Site;PIX
139;2024-12-12;13466;37;6;4;4130.15;3484.77;16520.6;849.22;Marketplace;Crédito
140;2025-10-31;9438;58;4;3;153.99;82.67;461.97;6.38;Loja Física;PIX
141;2025-03-06;7027;25;10;1;44.29;29.98;44.29;7.97;Loja Física;Crédito
142;2025-01-13;12118;23;7;1;301.9;229.15;301.9;29.12;Marketplace;Crédito
143;2024-08-30;4845;38;9;5;43.36;29.43;216.8;28.55;Site;Crédito
144;2024-11-17;988;22;7;2;298.17;318.03;596.34;107.34;Marketplace;PIX
145;2025-07-22;15561;55;1;4;7206.77;3749.76;28827.08;2284.36;Marketplace;Crédito
146;2026-05-21;3565;1;1;5;50.19;23.95;250.95;17.5;Marketplace;PIX
147;2026-05-24;542;44;9;2;4146.26;2925.17;8292.52;1492.65;Site;PIX
148;2024-07-05;7513;28;9;3;2248.38;711.66;6745.14;788.04;Site;Crédito
149;2024-07-03;4131;58;4;1;168.79;78.95;168.79;30.38;Marketplace;PIX
150;2025-01-09;9800;1;9;3;53.11;26.71;159.33;25.42;Marketplace;PIX
151;2025-07-23;11883;60;3;1;259.4;113.24;259.4;46.69;App;PIX
152;2025-10-15;18010;15;7;3;2232.51;587.6;6697.53;67.78;Marketplace;PIX
153;2025-06-24;16488;31;6;1;214.7;94.19;214.7;38.65;Marketplace;Crédito
154;2025-01-26;6269;35;8;2;34.93;27.95;69.86;5.84;Site;PIX
155;2024-06-01;17324;35;9;2;38.64;26.0;77.28;12.37;Loja Física;Débito
156;2025-10-20;12538;9;5;2;43.43;27.04;86.86;0.02;Marketplace;PIX
157;2024-12-08;19954;1;1;3;56.36;24.06;169.08;9.41;Site;PIX
